i3,feh,X11 image viewer
i3,xdg-utils,Allow application to interact with the desktop
i3,arc-gtk-theme,GTK themes
gtk,gtk-theme-shades-of-gray,GTK themes (AUR)
gtk,gtk-theme-arc-red,Desktop theme... but in red! (AUR)
gtk,flatery-icon-theme-git,GTK icons (AUR)
notify,dunst,Notification system
notify,libnotify,Notifier
programming,php,PHP programming language
programming,phpstan,PHP static analysis tool (AUR)
programming,phpmd,PHP mess detector (AUR)
programming,regexxer,Search/replace tool featuring Perl-style regular expressions
programming,composer,Dependency management for PHP
programming,ruby,Ruby programming language
programming,go,Golang programming language
programming,goreleaser,Release tool for Golang (AUR)
programming,golangci-lint,Fast linter for Golang (AUR)
programming,go-tools,Tools for Golang
programming,gopls,Golang language server
programming,npm,Infamous javascript package manager
programming,yarn,Wrapper for npm
programming,docker,Build ship and run distributed applications
programming,docker-compose,Configuration to run docker multi containers applications
programming,ctags,Generates an index file of language objects found in source files
programming,yamllint,Linter for yaml
programming,vint,Linter for VimScript
programming,rlwrap,Intercepting user input (used for Clojure cli)
programming,leiningen,REPL for Clojure
programming,racket,Language Racket
programming,shellcheck-bin,linter for the shell (AUR)
sql,postgresql,Implementation of PostgreSQL
sql,mariadb,Implementation of Mysql
sql,mycli,command line interface for MySQL (AUR)
sql,pgcli,command line interface for PostgreSQL (AUR)
sql,litecli,command line interface for SQLite
zsh,zsh,Unix shell (Z-Shell)
neovim,neovim,Editor... and much more
neovim,python-neovim,Python for neovim
neovim,python2-neovim,Python2 for neovim
neovim,ruby-neovim,Ruby for neovim (AUR)
neovim,markdown2ctags,Generates ctags-compatible output for the sections of a Markdown document(AUR)
neovim,python-sqlparse,sqlparse is a non-validating SQL parser module for Python
neovim,clojure-lsp-bin,Clojure language client
neovim,clj-kondo-bin,Clojure static analysis
keyring,gnome-keyring,Gnome component to store passwords
keyring,libsecret,Library for application to use gnome keyring
keyring,seahorse,Gnome keyring GUI
urxvt,rxvt-unicode,Terminal Urxvt
urxvt,urxvt-tabbedex-mina86-git,Improved tab for Urxvt (AUR)
urxvt,urxvt-resize-font-git,Increase / decrease font size for Urxvt via keystrokes(AUR)
ripgrep,ripgrep,Line oriented search tool (grep improved)
vifm,vifm,File manager based on Vi
nextcloud,nextcloud-client,Client to nextcloud
hugo,hugo,Static site generator written in Go
freemind,freemind,Free mind mapping software in Java
joplin,joplin-desktop,Note taking app open source (AUR)
language,anki,Powerful intelligent flash cards
language,translate-shell,Command line translator
language,dictd,Dictionary database server
videography,obs-studio,GUI for ffmpeg
videography,losslesscut-bin,Simple video edition (AUR)
multimedia,mpv,Free video player
multimedia,nomacs,Image visualizer
multimedia,easytag,Tag Manager
multimedia,mpd,Music Player Daemon
multimedia,ncmpcpp,Client for mpd
multimedia,ffmpeg,Complete solution to record stream audio / video
multimedia,deadbeef,Clone of Foobar2000 music player
office,libreoffice,Office suite
office,okular,PDF reader
office,zathura-pdf-mupdf,Highly customizable PDF reader
office,pdfarranger,Merge PDFs
office,scribus,Document editing software
newsboat,newsboat,RSS feed reader
pandoc,pandoc,Document converter
pandoc,textlive-most,Tex Document Production System
firefox,firefox,Browser Firefox
brave,brave-bin,Browser Brave (AUR)
qutebrowser,qutebrowser,Mouseless browser
doublecmd,doublecmd,Graphical file manager
keepass,keepassxc,Secure password management
thunderbird,thunderbird,Thunderbird
vmware,open-vm-tools,vmware tools
vmware,xf86-video-vmware,vmware video
vmware,xf86-input-vmmouse,vmware mouse
gaming,lutris,Open gaming plateform
gaming,steam,Video game distribution service
gaming,ttf-liberation,Fonts for steam
photography,darktable,RAW developer
photography,digikam,Photo organizer and developer
photography,xf86-input-wacom,Drivers for Wacom tablet
photography,displaycal,Display calibration software
